"Brain Hemisphere","Average Section thickness in μm:","aBeta Vendor / Clone Info","Submission Date","aBeta Antibody","Alpha Synuclein Antibody","Alpha Synuclein Vendor / Clone Info","TDP43 Antibody","TDP43 Vendor / Clone Info","Tau Antibody","Tau Vendor / Clone Info","What ADRC are you affiliated with?","What is your role in the ADRC?","Does the same expert / pathologist do most if not all of the blocking?","How do you currently process / counterstain your IHC slides?  Check all that apply. >> Hematoxylin Counter Stain Used","How do you currently process / counterstain your IHC slides?  Check all that apply. >> DAB as chromogen (brown) with no enhancement:","How do you currently process / counterstain your IHC slides?  Check all that apply. >> DAB as chromogen with nickel enhancement","What type of slide scanner does your ADRC primarily have access to/use ?","Special Preparation / Additional Info, average cost per slide of IHC?","Olfactory Bulb Landmarks","Olfactory Bulb Stains","Central Gyri Landmark","Central Gyri Stains","Central Gyri Sampling","Central Gyri GS Count","Parietal Gyri Stains","Parietal Gyri Sampling","Do you target a specific # of Gyri and Sulci for this region, if so how many?","Temporal Pole Landmarks","Temporal Pole Stains","Temporal Pole Sampling","Frontal Gyri Landmarks","Frontal Gyri Stains","Frontal Gyri Sampling","Do you target a specific # of Gyri and Sulci for this region, if so how many?","Temporal Lobe Landmarks","Temporal Lobe Stains","Temporal Lobe Sampling","Do you target a specific # of Gyri and Sulci for this region, if so how many?","Visual Cortex Landmarks","Visual Cortex Stains","Visual Cortex Sampling","Posterior Hippocampus Landmarks","Posterior Hippocampus Stains","Posterior Hippocampus Sampling","Anterior Cingulate Gyrus Landmarks","Anterior Cingulate Gyrus Stains","Anterior Cingulate Gyrus Sampling","Posterior Cingulate Cortex Landmarks","Posterior Cingulate Gyrus Stains","Posterior Cingulate Cortex Sampling","Amygdala Landmarks","Amygdala Stains","Amygdala Sampling","Medulla Sampling","Striatum Landmarks","Striatum Stains","Striatum Sampling","Thalamus Landmarks","Thalamus Stains","Thalamus Sampling","Periventricular White Matter Landmarks","Periventricular White Matter Sampling","Periventricular White Matter Stains","Anterior Hippocampus Stains","Anterior Hippocampus Sampling","Anterior Hippocampus Landmarks","Midbrain Landmarks","Midbrain Stains","Midbrain Sampling","Pons Landmarks","Pons Stains","Pons Sampling","Medulla Landmarks","Medulla Stains",parietalGyriLandmarks,"Cerebellum Landmarks","Cerebellum Stains","Cerebellum Sampling","Last Update Date","Submission ID","Submission IP","No Label",protocolDoc
Both,5,"Biolegend 800712","Apr 18, 2025",4G8,"Non-phospho specific","Leica NCL-L-ASYN",Phospho-specific,"2B Scientific CAC-TIP-PTD-MO1",AT8,"Thermo MN1020","Edinburgh University","ADRC Director",Yes,Yes,Yes,No,None,,"UNCHECKED: Bulb
UNCHECKED: Tract
CHECKED: Not Collected
UNCHECKED: Other","UNCHECKED: H&E
UNCHECKED: Aβ Stain
UNCHECKED: Tau Stain
UNCHECKED: α-Synuclein
UNCHECKED: TDP-43
UNCHECKED: CD68
UNCHECKED: Silver
UNCHECKED: Other","CHECKED: Pre
UNCHECKED: Post
CHECKED: Motor neurons present on microscopic evaluation
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
TDP-43","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",No,"H&E
Aβ Stain
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",No,"CHECKED: Region collected
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Superior
CHECKED: Middle
CHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",No,"CHECKED: Superior
CHECKED: Middle
CHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",No,"CHECKED: Line of Gennari (BA17)
UNCHECKED: BA18
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: CA1-4 with dentate gyrus
CHECKED: Parahippocampal Gyrus
UNCHECKED: Tail of caudate
UNCHECKED: Lateral Geniculate Nucleus
UNCHECKED: Occipital Temporal Gyrus
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Corpus Callosum
UNCHECKED: Superior Frontal
UNCHECKED: Not collected
UNCHECKED: Other","H&E
α-Synuclein","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Corpus Collosum
UNCHECKED: Region Collected
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
α-Synuclein","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Tau Stain
α-Synuclein
TDP-43","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Anterior Commissure
UNCHECKED: Nucleus Basalis of Meynert
CHECKED: Globus Pallidus
UNCHECKED: Caudate
CHECKED: Internal Capsule
UNCHECKED: External Capsule
CHECKED: Putamen
UNCHECKED: Nucleus Accumbens
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Mammillary Body
UNCHECKED: Subthalamic Nucleus
UNCHECKED: Mammilo-thalamic Tract
UNCHECKED: Anterior Nucleus of the thalamus
UNCHECKED: Pulvinar
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Frontal
CHECKED: Parietal
UNCHECKED: Temporal
CHECKED: Occipital
UNCHECKED: Not Collected","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",H&E,H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not Collected
UNCHECKED: Other","UNCHECKED: 3rd Cranial Nerve
CHECKED: Substantia Nigra
UNCHECKED: Red Nucleus
UNCHECKED: Superior Colliculus
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Superior Cerebellar Peduncle
UNCHECKED: Inferior Colliculus
UNCHECKED: Locus Coeruleus
UNCHECKED: Pontine Base / Fibers
UNCHECKED: Not collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Dorsal Motor Nucleus of the Vagus
CHECKED: Hypoglossal Nucleus
CHECKED: Inferior Olive
UNCHECKED: Medullary Velum
UNCHECKED: Pyramid
UNCHECKED: Not collected
UNCHECKED: Other","H&E
α-Synuclein
TDP-43","CHECKED: Super
UNCHECKED: MIddle
CHECKED: Inferior
UNCHECKED: Angular gyrus
UNCHECKED: Supramarginal gyrus
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: Dentate
UNCHECKED: Vermis
UNCHECKED: Cortex
UNCHECKED: Not Collected","H&E
Aβ Stain","UNCHECKED: Transverse section
CHECKED: Longitudinal section
UNCHECKED: Coronal section
UNCHECKED: Other",,6207825983871525182,2a00:23c6:aa08:ce01:52c:c491:fa07:83ea,,
Right,8,"17-24 Antibody, clone 4G8 Cat# 800708, Biolegend","Apr 18, 2025",4G8,"Non-phospho specific","NCL-L-ASYN, clone KM51 (Novocastra)(Leica)",Phospho-specific,"phospho Ser409, (Cosmo Bio)(Bio-Connect BV) Art.code: CAC-TIP-PTD-P03  Art.code: CAC-TIP-PTD-P03",AT8,"Thermo scientific MN1020B","Netherlands Brain Brank","Neuropathology Core Staff","yes, prof. Rozemuller performed this in the past 10-20 years now Nina Fransen and Sanne Vermorgen pathologist trained by Annemieke perform all the tissue dissection",Yes,Yes,Yes,None,"In general we use DAB staining without enhancement + hematoxylin counter stain. We also perform Hematoxylin and eosin staining. For MS lesions we combine PLP with DAB chromogen and HLA with DAB-nickel enhancement.","UNCHECKED: Bulb
UNCHECKED: Tract
UNCHECKED: Not Collected
CHECKED: not collected for diagnostics - is Bulb + tract is collected for researcher","UNCHECKED: H&E
UNCHECKED: Aβ Stain
UNCHECKED: Tau Stain
UNCHECKED: α-Synuclein
UNCHECKED: TDP-43
UNCHECKED: CD68
UNCHECKED: Silver
UNCHECKED: Other","CHECKED: Pre
UNCHECKED: Post
CHECKED: Motor neurons present on microscopic evaluation
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
α-Synuclein
not every diagnosis gets the same stainings, see staining protocol for accurate description of stainings performed per region per diagnosis","CHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","medial, U curve, Leg region","H&E
Aβ Stain
Tau Stain
α-Synuclein
Silver
not every diagnosis gets the same stainings, see staining protocol per diagnosis in the attached file","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","see key for anatomical hall marks used for dissection","CHECKED: Region collected
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Superior
CHECKED: Middle
UNCHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","F2 anterior, see Key for dissection attached","UNCHECKED: Superior
CHECKED: Middle
UNCHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","see key for anatomical hallmarks used fordissection","CHECKED: Line of Gennari (BA17)
CHECKED: BA18
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: CA1-4 with dentate gyrus
CHECKED: Parahippocampal Gyrus
UNCHECKED: Tail of caudate
CHECKED: Lateral Geniculate Nucleus
CHECKED: Occipital Temporal Gyrus
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Corpus Callosum
CHECKED: Superior Frontal
UNCHECKED: Not collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Corpus Collosum
UNCHECKED: Region Collected
CHECKED: Not Collected
UNCHECKED: Other",,"UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Anterior Commissure
CHECKED: Nucleus Basalis of Meynert
CHECKED: Globus Pallidus
CHECKED: Caudate
CHECKED: Internal Capsule
CHECKED: External Capsule
CHECKED: Putamen
CHECKED: Nucleus Accumbens
UNCHECKED: Not Collected
CHECKED: sometimes we take nucleus basalis van meynert and anterior commisure, but not standard. We always take accumbens, caudate/putamen, and putamen/pallidum/insula","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Mammillary Body
CHECKED: Subthalamic Nucleus
UNCHECKED: Mammilo-thalamic Tract
UNCHECKED: Anterior Nucleus of the thalamus
CHECKED: Pulvinar
UNCHECKED: Not Collected
CHECKED: sometime we take pulvinar with rapidly progressive dementias. We always take thalamus/subthalamicus","H&E
Aβ Stain
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Frontal
CHECKED: Parietal
UNCHECKED: Temporal
UNCHECKED: Occipital
UNCHECKED: Not Collected","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
CHECKED: see key to dissection, we make sure large part of WM is included in parietal, cingulus and F2 cassettes",H&E,"H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: 3rd Cranial Nerve
CHECKED: Substantia Nigra
CHECKED: Red Nucleus
CHECKED: Superior Colliculus
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","CHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
CHECKED: we slice the brainstem and cerebellum first before we make coronal slices of the hemisferes..","UNCHECKED: Superior Cerebellar Peduncle
CHECKED: Inferior Colliculus
CHECKED: Locus Coeruleus
UNCHECKED: Pontine Base / Fibers
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","CHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Dorsal Motor Nucleus of the Vagus
CHECKED: Hypoglossal Nucleus
CHECKED: Inferior Olive
UNCHECKED: Medullary Velum
CHECKED: Pyramid
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","UNCHECKED: Super
UNCHECKED: MIddle
CHECKED: Inferior
UNCHECKED: Angular gyrus
UNCHECKED: Supramarginal gyrus
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: Dentate
CHECKED: Vermis
CHECKED: Cortex
UNCHECKED: Not Collected","H&E
Aβ Stain
Tau Stain
α-Synuclein
TDP-43","UNCHECKED: Transverse section
CHECKED: Longitudinal section
UNCHECKED: Coronal section
UNCHECKED: Other",,6207710491167091334,145.117.226.11,,"https://www.jotform.com/uploads/dagutman/220618284829059/6207710491167091334/Kleurschema2024%20Netherlands%20Brain%20Bank.pdf
https://www.jotform.com/uploads/dagutman/220618284829059/6207710491167091334/Key%20for%20Netherlands%20Brain%20Bank%20dissection.docx"
Both,6,"BioLegend/Beta-Amyloid, 17-24 (4G8) Monoclonal Antibody","Sep 17, 2022",4G8,Phospho-specific,"Wako/Anti Phosphorylated αSynuclein, Monoclonal Antibody (pSyn#64)",Phospho-specific,"BioLegend/Purified anti-TDP43 Phospho (Ser409/410) Antibody (Previously Covance catalog# SIG-39852)",AT8,"ThermoScientific/Phospho-PHF-tau pSer202+Thr205 Antibody (AT8)",Vanderbilt,"Neuropathology Core Leader",Yes,Yes,Yes,No,"Aperio / Leica",,"CHECKED: Bulb
CHECKED: Tract
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: H&E
UNCHECKED: Aβ Stain
UNCHECKED: Tau Stain
CHECKED: α-Synuclein
UNCHECKED: TDP-43
UNCHECKED: CD68
UNCHECKED: Silver
UNCHECKED: Other","UNCHECKED: Pre
UNCHECKED: Post
UNCHECKED: Motor neurons present on microscopic evaluation
CHECKED: Not Collected
UNCHECKED: Other",,"UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other",,"H&E
Aβ Stain
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",No,"CHECKED: Region collected
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Superior
CHECKED: Middle
UNCHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
α-Synuclein
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","2 gyri, 1 sulcus","CHECKED: Superior
CHECKED: Middle
UNCHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain
α-Synuclein
Silver","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","2 gyri, 1 sulci","CHECKED: Line of Gennari (BA17)
CHECKED: BA18
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: CA1-4 with dentate gyrus
CHECKED: Parahippocampal Gyrus
UNCHECKED: Tail of caudate
CHECKED: Lateral Geniculate Nucleus
UNCHECKED: Occipital Temporal Gyrus
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Corpus Callosum
UNCHECKED: Superior Frontal
UNCHECKED: Not collected
UNCHECKED: Other","H&E
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Corpus Collosum
UNCHECKED: Region Collected
CHECKED: Not Collected
UNCHECKED: Other",,"UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not collected
UNCHECKED: Other","H&E
α-Synuclein
TDP-43","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Anterior Commissure
UNCHECKED: Nucleus Basalis of Meynert
UNCHECKED: Globus Pallidus
CHECKED: Caudate
CHECKED: Internal Capsule
UNCHECKED: External Capsule
CHECKED: Putamen
CHECKED: Nucleus Accumbens
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Mammillary Body
CHECKED: Subthalamic Nucleus
UNCHECKED: Mammilo-thalamic Tract
CHECKED: Anterior Nucleus of the thalamus
UNCHECKED: Pulvinar
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Frontal
CHECKED: Parietal
UNCHECKED: Temporal
UNCHECKED: Occipital
UNCHECKED: Not Collected","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",H&E,"H&E
Tau Stain
TDP-43","UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: 3rd Cranial Nerve
CHECKED: Substantia Nigra
UNCHECKED: Red Nucleus
CHECKED: Superior Colliculus
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
α-Synuclein","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Superior Cerebellar Peduncle
UNCHECKED: Inferior Colliculus
CHECKED: Locus Coeruleus
CHECKED: Pontine Base / Fibers
UNCHECKED: Not collected
UNCHECKED: Other","H&E
α-Synuclein","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Dorsal Motor Nucleus of the Vagus
UNCHECKED: Hypoglossal Nucleus
CHECKED: Inferior Olive
UNCHECKED: Medullary Velum
CHECKED: Pyramid
UNCHECKED: Not collected
UNCHECKED: Other","H&E
α-Synuclein","UNCHECKED: Super
UNCHECKED: MIddle
UNCHECKED: Inferior
CHECKED: Angular gyrus
UNCHECKED: Supramarginal gyrus
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: Dentate
UNCHECKED: Vermis
CHECKED: Cortex
UNCHECKED: Not Collected","H&E
Aβ Stain","UNCHECKED: Transverse section
CHECKED: Longitudinal section
UNCHECKED: Coronal section
UNCHECKED: Other",,5392586243613911270,160.129.250.163,,
,4,"DAKO/6F3D/mouse monoclonalIgG1, kappa","Sep 1, 2022",6F/3D,,,Phospho-specific,"proteintech/cat# 10782-2-AP",AT8,"invitrogen/mouse/IgG1,kappa","University of New Mexico","Neuropathology Core Leader","Yes, all",Yes,Yes,,"Aperio / Leica","$100 plus for 1 IHC slide","CHECKED: Bulb
CHECKED: Tract
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: H&E
UNCHECKED: Aβ Stain
UNCHECKED: Tau Stain
UNCHECKED: α-Synuclein
UNCHECKED: TDP-43
UNCHECKED: CD68
UNCHECKED: Silver
UNCHECKED: Other","UNCHECKED: Pre
UNCHECKED: Post
UNCHECKED: Motor neurons present on microscopic evaluation
CHECKED: Not Collected
UNCHECKED: Other",,"UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other",,H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",1,"CHECKED: Region collected
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Superior
CHECKED: Middle
UNCHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other","H&E
Aβ Stain
Tau Stain","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",1,"CHECKED: Superior
UNCHECKED: Middle
UNCHECKED: Inferior
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",1,"CHECKED: Line of Gennari (BA17)
UNCHECKED: BA18
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: CA1-4 with dentate gyrus
UNCHECKED: Parahippocampal Gyrus
UNCHECKED: Tail of caudate
CHECKED: Lateral Geniculate Nucleus
UNCHECKED: Occipital Temporal Gyrus
UNCHECKED: Not collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Corpus Callosum
UNCHECKED: Superior Frontal
UNCHECKED: Not collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Corpus Collosum
UNCHECKED: Region Collected
CHECKED: Not Collected
UNCHECKED: Other",,"UNCHECKED: Sampled before coronal slicing
UNCHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Anterior Commissure
UNCHECKED: Nucleus Basalis of Meynert
CHECKED: Globus Pallidus
CHECKED: Caudate
CHECKED: Internal Capsule
CHECKED: External Capsule
CHECKED: Putamen
UNCHECKED: Nucleus Accumbens
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Mammillary Body
CHECKED: Subthalamic Nucleus
UNCHECKED: Mammilo-thalamic Tract
UNCHECKED: Anterior Nucleus of the thalamus
UNCHECKED: Pulvinar
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Frontal
UNCHECKED: Parietal
UNCHECKED: Temporal
UNCHECKED: Occipital
UNCHECKED: Not Collected","UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other",H&E,H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","CHECKED: Entorhinal Cortex
UNCHECKED: Not Collected
UNCHECKED: Other","UNCHECKED: 3rd Cranial Nerve
CHECKED: Substantia Nigra
UNCHECKED: Red Nucleus
UNCHECKED: Superior Colliculus
UNCHECKED: Not Collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Superior Cerebellar Peduncle
UNCHECKED: Inferior Colliculus
CHECKED: Locus Coeruleus
UNCHECKED: Pontine Base / Fibers
UNCHECKED: Not collected
UNCHECKED: Other",H&E,"UNCHECKED: Sampled before coronal slicing
CHECKED: Sampled after coronal slicing
UNCHECKED: Other","UNCHECKED: Dorsal Motor Nucleus of the Vagus
UNCHECKED: Hypoglossal Nucleus
CHECKED: Inferior Olive
UNCHECKED: Medullary Velum
UNCHECKED: Pyramid
UNCHECKED: Not collected
UNCHECKED: Other",H&E,"CHECKED: Super
UNCHECKED: MIddle
UNCHECKED: Inferior
UNCHECKED: Angular gyrus
UNCHECKED: Supramarginal gyrus
UNCHECKED: Not Collected
UNCHECKED: Other","CHECKED: Dentate
UNCHECKED: Vermis
UNCHECKED: Cortex
UNCHECKED: Not Collected",H&E,"CHECKED: Transverse section
UNCHECKED: Longitudinal section
UNCHECKED: Coronal section
UNCHECKED: Other","Sep 12, 2022",5378693507189119584,206.192.168.17,,https://www.jotform.com/uploads/dagutman/220618284829059/5378693507189119584/NEWDementia%20Workupfor%20TriCore.pdf
